team,rating,,powerscore1,powerscore2,region,position,index
Kentucky,0.9671,,91.2,90.97,1,1,1
Indiana,0.9224,,76.87,86.64,1,1,2
Baylor,0.9087,,79.56,83.98,1,2,3
Xavier,0.7812,,83.68,77.25,1,2,4
MichSt,0.962,,83.36,91.83,2,1,5
Louisville,0.888,,87.74,85.36,2,1,6
Marquette,0.896,,85.55,84.25,2,2,7
Fla,0.893,,88.58,82.74,2,2,8
Syracuse,0.9391,,88.93,88.4,3,1,9
Wisconsin,0.9405,,89.13,86.19,3,1,10
Cincinnati,0.8526,,87.32,82.86,3,2,11
OhioSt,0.9665,,92,92.06,3,2,12
NorthC,0.9429,,89.63,90.57,4,1,13
Ohio,0.7431,,73.71,74.92,4,1,14
NCst,0.8135,,77.75,81,4,2,15
Kansas,0.9511,,93.45,88.15,4,2,16
