team,teamnum,region,index,r1,r2,r3,r4
Kentucky,1,1,1,1,1,1,1
MissVall,2,1,2,3,7,11,
Iowa,3,1,3,6,11,,
Conn,4,1,4,7,14,,
Wichita,5,1,5,10,,,
VCU,6,1,6,11,,,
Indiana,7,1,7,14,,,
NMst,8,1,8,16,,,
UNLV,9,1,9,,,,
Colorado,10,1,10,,,,
Baylor,11,1,11,,,,
SdakotaSt,12,1,12,,,,
NotreDame,13,1,13,,,,
Xavier,14,1,14,,,,
Duke,15,1,15,,,,
Lehigh,16,1,16,,,,
MichSt,1,2,17,17,17,23,23
LI,2,2,18,20,23,29,
Memphis,3,2,19,21,27,,
StLouis,4,2,20,23,29,,
NewMexico,5,2,21,25,,,
LBst,6,2,22,27,,,
Louisville,7,2,23,29,,,
Davidson,8,2,24,32,,,
MurraySt,9,2,25,,,,
CSU,10,2,26,,,,
Marquette,11,2,27,,,,
Iona,12,2,28,,,,
Fla,13,2,29,,,,
Virginia,14,2,30,,,,
Missouri,15,2,31,,,,
Norfolk,16,2,32,,,,
Syracuse,1,3,33,33,33,33,47
NCAsh,2,3,34,35,39,47,
KansasSt,3,3,35,37,41,,
SoMiss,4,3,36,39,47,,
Vanderbilt,5,3,37,41,,,
Harvard,6,3,38,43,,,
Wisconsin,7,3,39,45,,,
Montana,8,3,40,47,,,
Cincinnati,9,3,41,,,,
Texas,10,3,42,,,,
FSU,11,3,43,,,,
StBonavent,12,3,44,,,,
Gonzaga,13,3,45,,,,
WVU,14,3,46,,,,
OhioSt,15,3,47,,,,
Loyala,16,3,48,,,,
NorthC,1,4,49,49,49,49,63
UVM,2,4,50,51,56,63,
Creighton,3,4,51,54,58,,
Alabama,4,4,52,56,63,,
Temple,5,4,53,58,,,
SoFla,6,4,54,59,,,
Michigan,7,4,55,62,,,
Ohio,8,4,56,63,,,
SDst,9,4,57,,,,
NCst,10,4,58,,,,
Georgetown,11,4,59,,,,
Belmont,12,4,60,,,,
StMary,13,4,61,,,,
Purdue,14,4,62,,,,
Kansas,15,4,63,,,,
Dertoit,16,4,64,,,,
