S    A    B    C    D    E    F    G    H    I    J    K                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
1    0    0    4    0    0    4    15    84    108    6    0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
2    0    14    0    105    20    18    6    0    4    1    0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
3    0    0    0    55    69    6    0    0    0    0    5                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
4    12    68    0    17    23    1    0    0    0    0    0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
5    0    0    0    0    0    1    47    37    24    1    1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
6    30    39    36    0    0    1    0    0    0    0    0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
7    0    0    0    0    0    0    0    4    71    12    0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
8    0    0    63    0    0    0    0    0    0    0    0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
9    0    0    0    0    0    0    2    33    18    0    0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
10    0    0    0    0    0    13    9    8    3    17    0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
11    0    0    0    5    1    35    1    6    1    0    0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
12    0    14    0    0    6    28    0    0    0    0    0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
13    1    4    0    18    24    0    0    0    0    0    0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
14    0    0    0    27    2    0    0    2    3    0    0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
15    0    0    0    26    3    0    0    0    0    0    0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
16    0    0    0    0    0    13    1    7    5    1    0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
17    1    1    0    3    16    0    0    0    0    0    0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
18    6    11    0    1    0    0    0    0    0    0    0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
19    0    0    0    0    0    0    0    0    0    0    15                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
20    0    0    0    11    0    0    0    0    0    3    0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
21    0    0    0    0    0    0    0    13    0    0    0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
22    0    0    0    0    0    0    0    1    11    1    0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
23    1    0    0    0    0    0    0    0    0    0    11                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
24    0    0    0    5    4    0    0    0    0    0    0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
25    0    0    0    7    0    0    0    0    0    0    0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
26    2    5    0    0    0    0    0    0    0    0    0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
27    0    0    0    0    1    0    5    1    0    0    0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
28    0    0    0    0    0    0    0    0    0    5    0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
29    0    0    0    0    0    0    5    0    0    0    0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
30    0    0    0    0    0    0    0    3    2    0    0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
31    0    0    0    0    0    0    4    0    0    0    0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
32    0    0    0    0    4    0    0    0    0    0    0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
33    0    0    0    0    0    0    0    2    2    0    0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
34    2    0    1    0    0    0    0    0    0    0    0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
35    0    2    0    0    0    0    0    1    0    0    0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
36    1    1    1    0    0    0    0    0    0    0    0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
37    0    2    0    1    0    0    0    0    0    0    0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
38    0    3    0    0    0    0    0    0    0    0    0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
39    0    0    0    0    0    0    0    2    0    0    0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
40    0    0    1    0    0    0    1    0    0    0    0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
41    2    0    0    0    0    0    0    0    0    0    0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
42    0    0    0    0    0    0    1    0    1    0    0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
43    0    0    0    0    0    1    0    0    1    0    0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
44    0    0    0    2    0    0    0    0    0    0    0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
45    2    0    0    0    0    0    0    0    0    0    0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
46    0    0    0    0    2    0    0    0    0    0    0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
47    0    0    0    1    1    0    0    0    0    0    0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
48    0    0    0    0    0    0    0    1    1    0    0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
49    0    0    0    2    0    0    0    0    0    0    0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
50    0    0    0    0    0    0    0    2    0    0    0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
51    0    0    0    0    1    0    0    0    0    0    0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
52    0    0    0    0    0    0    0    0    0    0    1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
53    0    0    0    0    0    0    0    0    0    1    0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
54    0    1    0    0    0    0    0    0    0    0    0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
55    1    0    0    0    0    0    0    0    0    0    0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
56    0    0    0    0    1    0    0    0    0    0    0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
57    0    0    1    0    0    0    0    0    0    0    0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
58    0    0    0    0    0    0    0    1    0    0    0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
59    0    0    0    1    0    0    0    0    0    0    0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
60    0    0    0    0    0    1    0    0    0    0    0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
61    0    0    0    0    1    0    0    0    0    0    0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
62    0    0    0    1    0    0    0    0    0    0    0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
63    0    0    0    0    0    1    0    0    0    0    0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
64    0    0    0    0    0    0    0    0    1    0    0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
65    0    0    0    1    0    0    0    0    0    0    0 
